head	relation	tail
/m/05vz3zq	location.geocode.longitude	37.61667
/m/0379s	people.person.date_of_birth	1822.0
/m/04d5v9	location.geocode.latitude	40.841519
/m/0n3dv	location.geocode.latitude	46.93
/m/01pcz9	people.person.date_of_birth	1973.08333333
/m/04264n	people.person.height_meters	1.77
/m/0nj1c	topic_server.population_number	58012.0
/m/0nryt	location.dated_location.date_founded	1839.0
/m/01xdn1	organization.organization.date_founded	1869.0
/m/01nqj	location.location.area	4033.0
/m/01jw67	film.film.initial_release_date	1979.83333333
/m/0j11	location.location.area	193.0
/m/017m2y	people.person.date_of_birth	1961.75
/m/03lmzl	people.person.date_of_birth	1949.66666667
/m/048s0r	people.person.date_of_birth	1971.08333333
/m/0tzt_	location.geocode.longitude	-72.65
/m/02zr0z	location.geocode.longitude	-77.450833
/m/0k0q8q	people.deceased_person.date_of_death	2000.75
/m/02lfp4	people.person.date_of_birth	1931.08333333
/m/01l63	location.geocode.latitude	54.597
/m/0fhp9	location.geocode.latitude	48.2
/m/0fsv2	location.geocode.latitude	35.199167
/m/0dfjb8	people.person.date_of_birth	1958.25
/m/02hyt	location.geocode.latitude	38.553889
/m/0tl6d	location.geocode.longitude	-92.033333
/m/05l8y	topic_server.population_number	564895.0
/m/08ff1k	people.person.date_of_birth	1894.58333333
/m/029kpy	topic_server.population_number	966862.0
/m/09b_0m	location.geocode.latitude	37.980833
/m/0r00l	location.geocode.latitude	34.180278
/m/0884fm	people.person.date_of_birth	1948.0
/m/03sbs	people.person.date_of_birth	1724.33333333
/m/01y8cr	people.person.height_meters	1.854
/m/01wv9p	people.person.date_of_birth	1968.75
/m/0kf14	location.geocode.longitude	-82.308889
/m/01wx74	location.geocode.latitude	-38.137778
/m/01ddbl	organization.organization.date_founded	1936.0
/m/081jbk	people.person.height_meters	1.57
/m/05kj_	topic_server.population_number	3970239.0
/m/064r97z	film.film.initial_release_date	2009.33333333
/m/01xsc9	people.person.height_meters	1.85
/m/02fzs	location.location.area	0.647
/m/0hnp7	people.deceased_person.date_of_death	1959.83333333
/m/0d58_	location.geocode.longitude	11.578333
/m/04gvt5	people.person.height_meters	1.62
/m/0njlp	location.location.area	1452.9833299
/m/019389	people.person.height_meters	1.9
/m/058vp	people.deceased_person.date_of_death	1922.91666667
/m/01znc_	location.geocode.latitude	39.916667
/m/0hz6mv2	film.film.initial_release_date	2012.16666667
/m/07djnx	people.person.date_of_birth	1901.75
/m/0fvxg	location.geocode.latitude	46.595805
/m/04__f	people.deceased_person.date_of_death	2004.58333333
/m/0fbzp	topic_server.population_number	113936.0
/m/0cj36c	people.person.date_of_birth	1964.5
/m/017g2y	people.person.height_meters	1.7
/m/04kcn	location.geocode.latitude	44.0
/m/04y9dk	people.deceased_person.date_of_death	2011.66666667
/m/09xwz	organization.organization.date_founded	1927.41666667
/m/0lpk3	location.geocode.latitude	43.094722
/m/0v1xg	location.geocode.longitude	-83.888639
/m/0b2km_	film.film.initial_release_date	2006.66666667
/m/01m23s	location.location.area	75.0
/m/04gcd1	people.person.date_of_birth	1957.75
/m/04045y	location.geocode.longitude	-76.797458
/m/0159r9	location.geocode.latitude	52.205878
/m/05x30m	location.geocode.longitude	10.966667
/m/079yb	location.geocode.longitude	11.330556
/m/0n4yq	location.dated_location.date_founded	1852.0
/m/0l339	location.location.area	16438.6545363
/m/029jpy	topic_server.population_number	14680722.0
/m/0xckc	topic_server.population_number	98648.0
/m/0kv4k	location.location.area	26487.8084044
/m/0fkh6	location.geocode.longitude	-74.31
/m/02ly_	location.geocode.latitude	51.75
/m/0mwh1	location.geocode.latitude	40.75
/m/02g5q1	film.film.initial_release_date	1997.91666667
/m/012201	people.person.date_of_birth	1912.0
/m/036gdw	people.person.height_meters	1.68
/m/0dqyw	topic_server.population_number	2665314.0
/m/0dyl9	location.dated_location.date_founded	1846.0
/m/0f8l9c	location.geocode.longitude	2.0
/m/012gx2	people.person.date_of_birth	1942.91666667
/m/0h924	location.location.area	1262.0
/m/0166v	location.geocode.latitude	-24.658333
/m/04x4nv	film.film.initial_release_date	1988.66666667
/m/09bxq9	people.person.height_meters	1.8
/m/0h7jp	location.geocode.longitude	-0.666667
/m/01bczm	people.person.date_of_birth	1959.91666667
/m/0hdx8	location.geocode.latitude	13.466667
/m/0498y	location.geocode.longitude	-85.0
/m/02k_px	location.geocode.latitude	-33.7227
/m/01x96	location.geocode.longitude	-71.538056
/m/05b1062	people.deceased_person.date_of_death	2001.66666667
/m/0b68vs	people.person.height_meters	1.6
/m/02hkvw	people.deceased_person.date_of_death	2012.75
/m/067z4	location.geocode.longitude	28.188056
/m/02xbw2	people.person.date_of_birth	1972.83333333
/m/01fd26	topic_server.population_number	154600.0
/m/0347db	people.person.height_meters	1.83
/m/0jclr	location.geocode.longitude	-113.52
/m/013pp3	people.person.date_of_birth	1933.25
/m/07wlf	location.geocode.longitude	-111.85
/m/07rhpg	people.person.date_of_birth	1960.33333333
/m/0c630	location.geocode.latitude	37.5
/m/0hskw	people.deceased_person.date_of_death	2014.91666667
/m/0gs6vr	people.person.height_meters	1.65
/m/013nv_	location.location.area	64.28
/m/03cxsvl	people.person.height_meters	1.66
/m/08k881	people.person.height_meters	1.77
/m/06srk	topic_server.population_number	5289871.0
/m/0mhlq	location.geocode.longitude	3.0
/m/0b2mc	topic_server.population_number	325182.0
/m/01gbbz	people.person.date_of_birth	1958.08333333
/m/044bn	people.person.height_meters	1.88
/m/0cvw9	location.geocode.latitude	22.566667
/m/027_sn	people.person.height_meters	1.83
/m/07dvs	location.location.area	143100.0
/m/03v_5	topic_server.population_number	30515.0
/m/01gz9n	people.person.date_of_birth	1894.75
/m/0488g9	people.person.date_of_birth	1911.25
/m/0413cff	film.film.initial_release_date	2010.16666667
/m/06gjk9	film.film.initial_release_date	2005.41666667
/m/01693z	people.deceased_person.date_of_death	1990.66666667
/m/023zsh	people.person.height_meters	1.797
/m/01svry	film.film.initial_release_date	1998.91666667
/m/01722w	location.geocode.latitude	51.4984
/m/0qf2t	film.film.initial_release_date	1996.16666667
/m/0k696	location.location.area	5249.90589965
/m/0ymdn	location.geocode.longitude	-1.256958
/m/0b24sf	location.geocode.latitude	11.0125
/m/0jc7g	location.geocode.longitude	-113.1
/m/01d1yr	people.person.date_of_birth	1956.75
/m/049nq	topic_server.population_number	17100715.0
/m/012gyf	location.geocode.longitude	-99.187222
/m/01wbgdv	people.person.height_meters	1.62
/m/02x02kb	people.person.date_of_birth	1920.41666667
/m/086g2	location.dated_location.date_founded	1956.91666667
/m/0q1lp	people.person.date_of_birth	1972.58333333
/m/0fb18	location.geocode.latitude	44.1125
/m/0q8jl	location.geocode.longitude	-87.662778
/m/020p1	location.location.area	237.0
/m/02w29z	people.person.date_of_birth	1971.25
/m/03kcyd	people.person.date_of_birth	1975.83333333
/m/0199gx	location.geocode.latitude	52.475556
/m/0106dv	location.geocode.latitude	31.551389
/m/021npv	people.person.date_of_birth	1949.41666667
/m/045r_9	film.film.initial_release_date	1985.91666667
/m/0dbks	location.location.area	210.0
/m/0mn8t	location.geocode.longitude	-76.345641
/m/0r62v	location.location.area	108.697
/m/03ys2f	people.person.date_of_birth	1957.0
/m/016zwt	location.dated_location.date_founded	2008.0
/m/01q8fxx	people.person.date_of_birth	1955.5
/m/0jfx	location.geocode.latitude	-90.0
/m/0mj1l	people.person.height_meters	1.65
/m/01vsb_	location.geocode.longitude	127.25
/m/0mlw1	location.geocode.longitude	-121.9
/m/0bh8tgs	film.film.initial_release_date	2012.33333333
/m/02qhqz4	film.film.initial_release_date	2009.83333333
/m/018tnx	organization.organization.date_founded	1934.0
/m/0r172	location.geocode.longitude	-118.024444
/m/0gsg7	organization.organization.date_founded	1943.83333333
/m/040_t	people.person.date_of_birth	1932.25
/m/0gx1l	location.geocode.longitude	-117.0
/m/0978r	location.location.area	115.65
/m/02y0dd	people.person.height_meters	1.75
/m/0fr0t	topic_server.population_number	525529.0
/m/084m3	people.person.date_of_birth	1931.25
/m/016zwt	topic_server.population_number	20587157.0
/m/01pcq3	people.person.date_of_birth	1982.58333333
/m/05b7q	topic_server.population_number	15603005.0
/m/014g91	people.deceased_person.date_of_death	1980.75
/m/017cw	location.dated_location.date_founded	330.416666667
/m/027bs_2	people.person.date_of_birth	1968.41666667
/m/0fqxc	location.geocode.latitude	52.5
/m/0czkbt	people.person.date_of_birth	1985.41666667
/m/01gk3x	location.geocode.longitude	51.65
/m/0108xl	location.geocode.latitude	32.35
/m/0lbfv	location.geocode.longitude	-2.233611
/m/0l4vc	location.geocode.latitude	40.039722
/m/0bjv6	location.geocode.longitude	21.7
/m/0j582	people.person.height_meters	1.75
/m/0nz_b	topic_server.population_number	265787.0
/m/01jft4	film.film.initial_release_date	2003.41666667
/m/01njxvw	people.person.date_of_birth	1955.0
/m/01jz6d	people.person.height_meters	2.03
/m/0694j	location.location.area	1542056.0
/m/013m43	location.dated_location.date_founded	1891.33333333
/m/0c2tf	people.deceased_person.date_of_death	1961.41666667
/m/0338g8	people.person.date_of_birth	1944.33333333
/m/01llj3	location.geocode.latitude	51.461456
/m/05b4w	location.geocode.longitude	8.0
/m/05g7q	people.person.height_meters	1.83
/m/0pzmf	location.geocode.latitude	39.94
/m/0tc7	people.person.height_meters	1.88
/m/0fqyc	topic_server.population_number	2762163.0
/m/04psyp	people.person.date_of_birth	1997.91666667
/m/0fs1v	location.location.area	36.04
/m/06f5j	people.deceased_person.date_of_death	1870.83333333
/m/0g7yx	location.geocode.latitude	38.183333
/m/03_hd	people.deceased_person.date_of_death	1873.41666667
/m/098sx	people.person.date_of_birth	1946.83333333
/m/0dlv0	location.geocode.longitude	77.208889
/m/02496r	location.geocode.latitude	54.244
/m/03hpr	people.person.date_of_birth	1934.41666667
/m/01dzq6	location.geocode.longitude	-0.301
/m/04v7kt	people.person.height_meters	1.898
/m/02fvv	location.location.area	67.0
/m/0g39h	location.geocode.longitude	143.0
/m/044n3h	people.person.date_of_birth	1973.91666667
/m/0nlc7	location.geocode.longitude	0.033333
/m/07t90	organization.organization.date_founded	1861.0
/m/025569	location.geocode.latitude	53.391667
/m/0806vbn	people.person.date_of_birth	1982.33333333
/m/0183z2	location.geocode.longitude	-106.433333
/m/06wm0z	people.person.date_of_birth	1987.83333333
/m/04ykg	location.dated_location.date_founded	1858.41666667
/m/017_cl	location.geocode.longitude	-2.44
/m/04kf4	location.geocode.longitude	12.383333
/m/029t1	location.geocode.longitude	4.366667
/m/02fj8n	film.film.initial_release_date	2002.25
/m/020hyj	people.person.height_meters	1.78
/m/0l2vz	topic_server.population_number	694437.0
/m/02wycg2	people.person.date_of_birth	1977.0
/m/03cmsqb	film.film.initial_release_date	2009.75
/m/04bbpm	organization.organization.date_founded	1875.0
/m/0581vn8	film.film.initial_release_date	2009.66666667
/m/05hrq4	people.person.date_of_birth	1907.16666667
/m/0373qg	organization.organization.date_founded	1845.0
/m/01c4pv	topic_server.population_number	4188010.0
/m/02sn34	location.geocode.latitude	50.45
/m/09ctj	location.geocode.latitude	52.666667
/m/016mhd	film.film.initial_release_date	2000.41666667
/m/016kft	people.person.height_meters	1.854
/m/0bkf72	people.person.date_of_birth	1943.25
/m/027rqbx	location.geocode.latitude	39.283294
/m/03g62	people.person.height_meters	1.87
/m/0mw7h	location.geocode.latitude	39.92
/m/010r6f	location.geocode.longitude	-122.166667
/m/0237jb	people.person.date_of_birth	1961.08333333
/m/01wd3l	people.person.date_of_birth	1963.91666667
/m/0qjd	location.dated_location.date_founded	1306.0
/m/02bf58	organization.organization.date_founded	1902.0
/m/044prt	people.person.date_of_birth	1961.66666667
/m/023tp8	people.person.height_meters	1.562
/m/01qdhx	location.geocode.latitude	36.13553
/m/01q7q2	organization.organization.date_founded	1791.0
/m/01q7q2	location.geocode.longitude	-73.19361
/m/0133sq	people.person.date_of_birth	1959.0
/m/01bpn	people.deceased_person.date_of_death	1970.16666667
/m/0lmgy	location.geocode.longitude	-156.65
/m/03pzf	location.geocode.latitude	43.25
/m/05krk	location.geocode.longitude	-83.0145
/m/0z843	location.geocode.latitude	35.7466
/m/02dq8f	organization.organization.date_founded	1844.0
/m/0bkmf	people.person.date_of_birth	1901.16666667
/m/0mzg2	location.geocode.longitude	18.016389
/m/0p07l	location.geocode.latitude	38.84
/m/01_c4	topic_server.population_number	7375.0
/m/07nx9j	people.person.height_meters	1.829
/m/02607j	location.geocode.latitude	40.714606
/m/05_61y	film.film.initial_release_date	1974.0
/m/0pz6q	organization.organization.date_founded	1457.0
/m/040696	people.person.height_meters	1.75
/m/0118d3	location.location.area	48.38
/m/05808s	organization.organization.date_founded	1955.0
/m/047cqr	people.person.date_of_birth	1976.0
/m/01pj_5	film.film.initial_release_date	2000.58333333
/m/04fkg4	people.person.date_of_birth	1962.33333333
/m/03bmmc	organization.organization.date_founded	1887.0
/m/0m2gk	location.dated_location.date_founded	1666.0
/m/04zwc	location.geocode.longitude	151.112915
/m/05zpghd	film.film.initial_release_date	2009.75
/m/01zmqw	topic_server.population_number	24638.0
/m/0mhdz	location.location.area	28.903
/m/01d34b	organization.organization.date_founded	1984.0
/m/0mb0	people.person.date_of_birth	1941.83333333
/m/0b1mf	location.location.area	65.678
/m/026ssfj	location.geocode.longitude	-73.995935
/m/062qg	topic_server.population_number	1834184.0
/m/01m5m5b	people.person.date_of_birth	1958.75
/m/013km	people.person.date_of_birth	1955.33333333
/m/03n0q5	people.person.date_of_birth	1926.0
/m/07bcn	topic_server.population_number	456441.0
/m/011w4n	location.location.area	15.01
/m/0f94t	location.geocode.latitude	40.809033
/m/02dgq2	location.geocode.latitude	33.899964
/m/0nvvw	location.location.area	2584.80813412
/m/02bb26	location.dated_location.date_founded	1797.0
/m/01wdcxk	people.person.date_of_birth	1946.41666667
/m/01_x6v	people.person.height_meters	1.85
/m/0gjcrrw	film.film.initial_release_date	2011.75
/m/0fw2y	location.location.area	219.371992945
/m/02hfp_	people.person.height_meters	1.74
/m/0bvls5	people.person.date_of_birth	1958.66666667
/m/0537b	organization.organization.date_founded	1928.75
/m/01n4w_	organization.organization.date_founded	1749.0
/m/02q3bb	people.person.height_meters	1.78
/m/0t_07	location.geocode.longitude	-71.349444
/m/06jz0	people.person.date_of_birth	1947.25
/m/03jg5t	people.deceased_person.date_of_death	2009.91666667
/m/02779r4	people.person.date_of_birth	1946.0
/m/01l_9d	location.geocode.latitude	-30.0
/m/020hh3	people.person.height_meters	1.664
/m/020skc	location.geocode.longitude	81.85
/m/080h2	location.geocode.latitude	49.25
/m/0x3n	people.deceased_person.date_of_death	2001.66666667
/m/07h34	topic_server.population_number	2369000.0
/m/03zv3n	location.geocode.longitude	12.716667
/m/06w38l	people.person.date_of_birth	1914.33333333
/m/03fvqg	people.person.height_meters	1.78
/m/0kxbc	people.person.date_of_birth	1972.16666667
/m/0fnyc	location.location.area	185.0
/m/058z2d	organization.organization.date_founded	1881.0
/m/0174qm	location.geocode.longitude	0.28
/m/032clf	film.film.initial_release_date	1987.41666667
/m/07qcbw	people.person.date_of_birth	1937.0
/m/01b0k1	people.deceased_person.date_of_death	2007.91666667
/m/0cc1v	location.dated_location.date_founded	1696.0
/m/04mwxk3	organization.organization.date_founded	2000.75
/m/0hqzr	location.geocode.longitude	-1.5528
/m/01xzb6	people.person.height_meters	1.78
/m/0mkk3	location.location.area	2196.30991756
/m/0f2nf	topic_server.population_number	128997.0
/m/01bczm	people.person.height_meters	1.72
/m/03902	topic_server.population_number	177964.0
/m/01gpy4	topic_server.population_number	557371.0
/m/0727_	location.location.area	207.36
/m/060wq	location.geocode.latitude	38.266944
/m/0pml7	location.location.area	381.3
/m/0nj07	topic_server.population_number	2059824.0
/m/027r0_f	people.person.date_of_birth	1919.58333333
/m/02yxbc	film.film.initial_release_date	2000.83333333
/m/083q7	people.person.date_of_birth	1857.0
/m/04rrx	topic_server.population_number	5475000.0
/m/0988cp	people.person.date_of_birth	1943.16666667
/m/0nzlp	topic_server.population_number	323528.0
/m/02lfl4	people.person.height_meters	1.8
/m/04t2l2	people.person.height_meters	1.75
/m/0kpys	location.geocode.latitude	34.05
/m/019n9w	location.geocode.longitude	-117.714
/m/0l339	location.geocode.latitude	41.583333
/m/07nf6	location.geocode.longitude	11.2660882
/m/01q3_2	people.person.date_of_birth	1948.08333333
/m/049lr	topic_server.population_number	61130704.0
/m/02gr81	organization.organization.date_founded	1927.0
/m/0lpfh	topic_server.population_number	8852000.0
/m/016z43	film.film.initial_release_date	1991.75
/m/01vs8ng	people.person.height_meters	1.56
/m/013mzh	location.geocode.longitude	-93.94
/m/015bpl	film.film.initial_release_date	1992.0
/m/04pxcx	people.person.date_of_birth	1978.5
/m/026spg	people.person.height_meters	1.753
/m/01m13b	film.film.initial_release_date	2000.41666667
/m/0bs5k8r	film.film.initial_release_date	2009.75
/m/07vk2	location.geocode.longitude	151.187222
/m/02cgp8	location.location.area	89517.0
/m/01pjr7	people.person.date_of_birth	1944.91666667
/m/081mh	location.location.area	62755.0
/m/0ms1n	location.geocode.latitude	32.77
/m/0443y3	people.person.date_of_birth	1962.25
/m/09hzw	location.geocode.latitude	53.79813825
/m/0mmzt	topic_server.population_number	22460.0
/m/03p85	location.location.area	55673.0
/m/018009	people.person.height_meters	1.89
/m/02tkzn	people.person.date_of_birth	1929.91666667
/m/01qq80	topic_server.population_number	1344709.0
/m/01vsy9_	people.person.date_of_birth	1903.41666667
/m/04j5fx	people.person.height_meters	1.76
/m/0mmrd	location.geocode.longitude	-119.47
/m/01nh5h	location.location.area	491.0
/m/0_lr1	location.location.area	67.7
/m/05nshw	topic_server.population_number	2779862.0
/m/0qb1z	location.geocode.longitude	8.403951
/m/025rst1	location.dated_location.date_founded	1762.0
/m/0frf6	location.geocode.longitude	-77.64
/m/01xpxv	people.deceased_person.date_of_death	2005.91666667
/m/01q8wk7	people.person.date_of_birth	1939.5
/m/05br2	location.dated_location.date_founded	1968.08333333
/m/05pq3_	location.dated_location.date_founded	1715.0
/m/0ly5n	people.person.height_meters	1.9
/m/07w42	organization.organization.date_founded	1972.0
/m/05gnf9	people.person.height_meters	1.8
/m/02ngbs	location.geocode.latitude	29.722222
/m/0c12h	people.deceased_person.date_of_death	1987.66666667
/m/07f0tw	people.person.date_of_birth	1938.16666667
/m/0bm2g	film.film.initial_release_date	1953.66666667
/m/0drr3	location.location.area	2678.04770609
/m/01j7pt	organization.organization.date_founded	1991.33333333
/m/049ql1	organization.organization.date_founded	1998.0
/m/04mkft	organization.organization.date_founded	1978.0
/m/06_6j3	people.person.height_meters	1.78
/m/0536sd	location.geocode.longitude	13.361389
/m/02dth1	people.person.date_of_birth	1935.83333333
/m/0jmk7	organization.organization.date_founded	1947.0
/m/02pg45	film.film.initial_release_date	1995.75
/m/0454s1	people.person.date_of_birth	1896.16666667
/m/02wzv	topic_server.population_number	180069.0
/m/0435vm	film.film.initial_release_date	2005.58333333
/m/03x16f	people.person.date_of_birth	1956.25
/m/04f_d	topic_server.population_number	451572.0
/m/0137hn	people.person.date_of_birth	1950.0
/m/087vz	location.geocode.longitude	20.462222
/m/01vsl3_	people.person.date_of_birth	1940.83333333
/m/016hvl	people.deceased_person.date_of_death	1975.91666667
/m/02mzg9	location.geocode.latitude	39.678333
/m/0bk4s	people.deceased_person.date_of_death	1820.08333333
/m/01tjt2	location.geocode.longitude	20.0
/m/02k_px	location.location.area	133007.0
/m/01mv_n	people.person.date_of_birth	1923.0
/m/01s0_f	organization.organization.date_founded	1868.0
/m/01qckn	organization.organization.date_founded	1969.25
/m/02qnk5c	people.deceased_person.date_of_death	1995.25
/m/04kr63w	people.person.date_of_birth	1983.0
/m/0s9z_	location.geocode.latitude	42.1825
/m/02bm8	location.location.area	112.01
/m/0l2wt	location.dated_location.date_founded	1850.0
/m/027ct7c	film.film.initial_release_date	1971.83333333
/m/035qv8	organization.organization.date_founded	1621.0
/m/0q48z	location.geocode.longitude	-85.833333
/m/0x335	location.geocode.longitude	-114.011667
/m/05q78ky	organization.organization.date_founded	2009.33333333
/m/02d_zc	location.geocode.longitude	-105.080978
/m/0ylsr	location.geocode.longitude	-1.253702
/m/033071	people.person.height_meters	1.85
/m/0d0kn	location.geocode.latitude	41.716667
/m/026dg51	people.person.date_of_birth	1946.5
/m/033hqf	people.person.date_of_birth	1901.75
/m/01b7lc	organization.organization.date_founded	1930.0
/m/0gz5hs	people.person.date_of_birth	1974.16666667
/m/01tjsl	topic_server.population_number	6562053.0
/m/0nlqq	location.location.area	13612.9775079
/m/07glc4	people.person.date_of_birth	1976.83333333
/m/0zchj	topic_server.population_number	76639.0
/m/03tw2s	location.geocode.latitude	33.9975
/m/0kygv	location.geocode.latitude	43.5513
/m/0vkl2	organization.organization.date_founded	1916.0
/m/0l2q3	location.geocode.longitude	-115.98
/m/0vm4s	location.location.area	30.54
/m/03lrqw	film.film.initial_release_date	1988.91666667
/m/01rmnp	people.person.date_of_birth	1980.25
/m/030dx5	people.deceased_person.date_of_death	1955.91666667
/m/01r_t_	people.deceased_person.date_of_death	2003.08333333
/m/05wqr1	people.person.height_meters	1.73
/m/0h3lt	location.dated_location.date_founded	1909.16666667
/m/01bh3l	location.geocode.latitude	-29.0
/m/01lvrm	organization.organization.date_founded	1614.0
/m/04hhv	location.dated_location.date_founded	1949.58333333
/m/016xk5	people.person.date_of_birth	1949.5
/m/040db	people.person.date_of_birth	1899.66666667
/m/07348	topic_server.population_number	3117405.0
/m/0d5_f	people.person.date_of_birth	1849.08333333
/m/01zxx9	location.location.area	188.4
/m/0xmlp	location.location.area	10.164
/m/0484q	people.person.height_meters	1.77
/m/0j1_3	location.geocode.longitude	110.004444
/m/03m9c8	organization.organization.date_founded	1900.0
/m/0fsmy	location.geocode.longitude	69.216667
/m/0ftkx	location.geocode.latitude	25.033333
/m/0l3q2	location.geocode.longitude	-43.933333
/m/0jrjb	location.geocode.latitude	26.58
/m/037gjc	people.person.height_meters	1.83
/m/01l7qw	people.person.date_of_birth	1942.91666667
/m/03pcgf	topic_server.population_number	29366.0
/m/02fjzt	location.geocode.latitude	41.48071
/m/010bxh	location.location.area	181.558166535
/m/0pksh	people.person.date_of_birth	1950.16666667
/m/05650n	film.film.initial_release_date	2006.91666667
/m/06chvn	people.deceased_person.date_of_death	2015.58333333
/m/01p6xx	people.person.height_meters	1.91
/m/02wrhj	people.person.height_meters	1.83
/m/06fcqw	film.film.initial_release_date	2008.91666667
/m/024jwt	people.person.height_meters	1.68
/m/0n6mc	location.geocode.latitude	40.63
/m/0d117	location.location.area	46.9
/m/0n22z	location.geocode.latitude	41.68
/m/07y8l9	people.person.height_meters	1.8
/m/05kkh	topic_server.population_number	7876000.0
/m/013kcv	location.geocode.longitude	-95.937222
/m/0gxbl	location.location.area	146.0
/m/0fp5z	location.geocode.latitude	52.6653
/m/02tr7d	people.person.date_of_birth	1976.16666667
/m/0kv2hv	film.film.initial_release_date	2007.16666667
/m/0sq2v	location.geocode.longitude	-86.255278
/m/065_cjc	film.film.initial_release_date	2011.16666667
/m/022lly	location.geocode.longitude	-85.408943
/m/02fgp0	people.deceased_person.date_of_death	1991.25
/m/02mbs4	location.geocode.latitude	41.482774
/m/01vt9p3	people.person.date_of_birth	1941.0
/m/0dq9wx	people.person.height_meters	1.69
/m/06g60w	people.person.date_of_birth	1906.66666667
/m/0cbgl	people.deceased_person.date_of_death	2008.75
/m/05tr7	topic_server.population_number	14762.0
/m/068cn	location.geocode.longitude	7.916667
/m/0cg9f	people.person.height_meters	1.78
/m/06wvfq	people.person.date_of_birth	1954.83333333
/m/03kxzm	location.geocode.latitude	42.35817
/m/07wlf	organization.organization.date_founded	1850.16666667
/m/04llb	topic_server.population_number	540022.0
/m/026f__m	film.film.initial_release_date	2008.58333333
/m/0kh6b	people.person.date_of_birth	1926.41666667
/m/02p4jf0	organization.organization.date_founded	1999.0
/m/0z05l	people.person.height_meters	1.79
/m/0cw5k	location.location.area	3194.0
/m/0h6l4	location.geocode.latitude	40.615444
/m/0r89d	location.location.area	101.548
/m/02x3lt7	film.film.initial_release_date	2009.33333333
/m/0j5b8	people.deceased_person.date_of_death	1821.41666667
/m/015rhv	people.person.height_meters	1.78
/m/014cw2	people.person.date_of_birth	1958.0
/m/0mvn6	location.location.area	2121.20026237
/m/01y06y	location.geocode.longitude	12.379
/m/0n9dn	location.location.area	21.8
/m/069nzr	people.person.date_of_birth	1965.75
/m/06s0l	location.location.area	617.01
/m/0n4m5	location.dated_location.date_founded	1791.0
/m/05p606	people.person.date_of_birth	1938.83333333
/m/04ykz	location.geocode.latitude	38.813611
